2026-05-03 11:44:04,481 - INFO - Building environment (duel)...
2026-05-03 11:44:04,481 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:44:04,482 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:44:05,058 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:44:05,059 - DEBUG - env step | turn=0 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:05,060 - DEBUG - env step | turn=1 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,125 - DEBUG - env step | turn=2 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,126 - DEBUG - env step | turn=3 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,126 - DEBUG - env step | turn=4 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,126 - DEBUG - env step | turn=5 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,127 - DEBUG - env step | turn=6 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,127 - DEBUG - env step | turn=7 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,127 - DEBUG - env step | turn=8 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,127 - DEBUG - env step | turn=9 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,143 - DEBUG - env step | turn=10 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,143 - DEBUG - env step | turn=11 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,144 - DEBUG - env step | turn=12 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,144 - DEBUG - env step | turn=13 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,144 - DEBUG - env step | turn=14 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,144 - DEBUG - env step | turn=15 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,145 - DEBUG - env step | turn=16 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,145 - DEBUG - env step | turn=17 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,159 - DEBUG - env step | turn=18 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,159 - DEBUG - env step | turn=19 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,159 - DEBUG - env step | turn=20 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,160 - DEBUG - env step | turn=21 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,160 - DEBUG - env step | turn=22 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,160 - DEBUG - env step | turn=23 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,160 - DEBUG - env step | turn=24 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,160 - DEBUG - env step | turn=25 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,177 - DEBUG - env step | turn=26 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,177 - DEBUG - env step | turn=27 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,177 - DEBUG - env step | turn=28 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,178 - DEBUG - env step | turn=29 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,178 - DEBUG - env step | turn=30 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,178 - DEBUG - env step | turn=31 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,178 - DEBUG - env step | turn=32 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,179 - DEBUG - env step | turn=33 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,199 - DEBUG - env step | turn=34 | actions=(3, 3) | rewards=[0. 0.] | done=False
