2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:55,593 - DEBUG - env step | turn=0 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,107 - DEBUG - env step | turn=1 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,107 - DEBUG - env step | turn=2 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,108 - DEBUG - env step | turn=3 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,108 - DEBUG - env step | turn=4 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,108 - DEBUG - env step | turn=5 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,143 - DEBUG - env step | turn=6 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,144 - DEBUG - env step | turn=7 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,144 - DEBUG - env step | turn=8 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,144 - DEBUG - env step | turn=9 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,145 - DEBUG - env step | turn=10 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,178 - DEBUG - env step | turn=11 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,179 - DEBUG - env step | turn=12 | actions=(1, 3) | rewards=[0. 0.] | done=False
