2026-06-02 18:20:07,136 - INFO - hisss reward_cfg: {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-06-02 18:20:07,775 - INFO - DQN training configuration: {
  "algorithm": "rainbow",
  "gamma": 0.99,
  "n_step": 3,
  "batch_size": 64,
  "train_after": 500,
  "target_update_every": 500,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000,
  "beta_start": 0.4,
  "beta_end": 1.0
}
2026-06-02 18:20:07,776 - DEBUG - env step | turn=0 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:07,776 - DEBUG - env step | turn=1 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,659 - DEBUG - env step | turn=2 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,659 - DEBUG - env step | turn=3 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,660 - DEBUG - env step | turn=4 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,661 - DEBUG - env step | turn=5 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,691 - DEBUG - env step | turn=6 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,691 - DEBUG - env step | turn=7 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,692 - DEBUG - env step | turn=8 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,692 - DEBUG - env step | turn=9 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,692 - DEBUG - env step | turn=10 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,692 - DEBUG - env step | turn=11 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,693 - DEBUG - env step | turn=12 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,693 - DEBUG - env step | turn=13 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,720 - DEBUG - env step | turn=14 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,720 - DEBUG - env step | turn=15 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,720 - DEBUG - env step | turn=16 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,720 - DEBUG - env step | turn=17 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,721 - DEBUG - env step | turn=18 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,721 - DEBUG - env step | turn=19 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,721 - DEBUG - env step | turn=20 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,721 - DEBUG - env step | turn=21 | actions=(3, 2) | rewards=[0. 0.] | done=False
